Date,Open,High,Low,Close,Volume,Adj Close
8/12/1983,39.88,40.38,39.13,40.25,2419200,2.7
8/11/1983,41.63,41.63,39.25,39.88,4849600,2.67
8/10/1983,41.63,41.63,41,41.63,1247200,2.79
8/9/1983,40.63,41.63,40.38,41.63,969600,2.79
8/8/1983,40.88,40.88,40.13,40.63,2020800,2.72
8/5/1983,42.38,42.5,41.5,41.63,5078400,2.79
8/4/1983,44.13,44.25,42.13,42.38,3344000,2.84
8/3/1983,44.25,44.38,43.25,44.13,2652000,2.96
8/2/1983,43.75,44.75,43.38,44.25,976800,2.96
8/1/1983,44,44.13,43.75,43.75,668800,2.93
7/29/1983,44.13,44.5,43.75,44,550400,2.95
7/28/1983,43.88,44.25,43.63,44.13,802400,2.96
7/27/1983,44.63,45,43.75,43.88,1048800,2.94
7/26/1983,44.75,44.75,44.25,44.63,1160800,2.99
7/25/1983,44.88,44.88,44.13,44.75,743200,3
7/22/1983,44.25,45,43.63,44.88,1604800,3.01
7/21/1983,44.5,44.75,43.63,44.25,2560000,2.96
7/20/1983,44.38,45,44,44.5,3195200,2.98
7/19/1983,43.88,44.63,43.88,44.38,1205600,2.97
7/18/1983,44.25,44.25,43.25,43.63,1302400,2.92
7/15/1983,45.13,45.25,44.25,44.38,1078400,2.97
7/14/1983,44.88,45.63,44.75,45.13,1033600,3.02
7/13/1983,44.5,45.13,44.5,44.88,814400,2.98
7/12/1983,45.13,45.5,44.38,44.5,2317600,2.96
7/11/1983,45.63,45.63,44.88,45.13,1744800,3
7/8/1983,46,46.25,45.75,46,437600,3.05
7/7/1983,46.13,46.25,45.63,46,778400,3.05
7/6/1983,46.25,46.38,45.75,46.13,2016800,3.06
7/5/1983,46.63,46.63,45.88,46.25,2399200,3.07
7/1/1983,47,47,46.25,46.88,1001600,3.11
6/30/1983,46.38,47.25,46.13,47.25,1284000,3.14
6/29/1983,46.25,46.63,46.13,46.38,852000,3.08
6/28/1983,46.75,47.13,46.13,46.25,1279200,3.07
6/27/1983,47,47,46.25,46.75,1107200,3.1
6/24/1983,46.75,47.13,46.63,47,1481600,3.12
6/23/1983,46.5,46.88,46.38,46.75,1178400,3.1
6/22/1983,47.13,47.38,46.5,46.5,2806400,3.09
6/21/1983,47.5,47.5,46.75,47.13,1119200,3.13
6/20/1983,47.75,48,47.5,47.5,748000,3.15
6/17/1983,48.5,48.63,47.5,47.75,1701600,3.17
6/16/1983,48.25,49,48.25,48.5,2640000,3.22
6/15/1983,46.25,47.63,46,47.63,3198400,3.16
6/14/1983,46.25,47.13,46.13,46.25,2406400,3.07
6/13/1983,45.63,46.63,45.5,46.25,3388000,3.07
6/10/1983,46.13,46.5,45.38,45.63,1664800,3.03
6/9/1983,45.75,46.38,45.5,46.13,489600,3.06
6/8/1983,46.38,46.38,45.75,45.75,1120000,3.04
6/7/1983,46.75,47.25,46.25,46.38,1476000,3.08
6/6/1983,47,47,46.25,46.75,760800,3.1
6/3/1983,47,47.13,46.75,47,1088000,3.12
6/2/1983,47.13,47.25,46.63,47,1036000,3.12
6/1/1983,46.75,47.25,46.5,47.13,1056000,3.13
5/31/1983,47.5,47.88,46.5,46.75,1420800,3.1
5/27/1983,47.38,48,47.38,47.5,1528000,3.15
5/26/1983,46.5,47.63,46.5,47.38,3021600,3.15
5/25/1983,45.88,46.63,45.75,46.38,2380000,3.08
5/24/1983,44.63,45.88,44.5,45.88,3871200,3.05
5/23/1983,45.25,45.38,44.5,44.63,3458400,2.96
5/20/1983,45.5,45.5,44.63,45.25,1819200,3.01
5/19/1983,46.13,46.63,45.5,45.63,1702400,3.03
5/18/1983,46.5,46.88,46,46.13,2132000,3.06
5/17/1983,46.25,46.5,46,46.5,1715200,3.09
5/16/1983,47,47,46.25,46.25,5484800,3.07
5/13/1983,47.13,47.13,47,47.13,3965600,3.13
5/12/1983,48.13,48.13,47,47.25,1115200,3.14
5/11/1983,48.88,49,48,48.13,1456000,3.2
5/10/1983,48.75,49.13,48.5,48.88,1636000,3.25
5/9/1983,49,49.38,48,48.75,1149600,3.24
5/6/1983,46.88,49.5,46.88,49,2148800,3.25
5/5/1983,46.25,46.88,46.25,46.88,1433600,3.11
5/4/1983,45.88,46.38,45.88,46.13,1536800,3.06
5/3/1983,46.13,46.25,45.63,45.88,2213600,3.05
5/2/1983,46.5,47.13,46,46.13,1708000,3.06
4/29/1983,45.5,46.88,45.5,46.5,961600,3.09
4/28/1983,44.88,45.75,44.63,45.5,1391200,3.02
4/27/1983,44.88,45.13,44.63,44.88,1300800,2.98
4/26/1983,45.63,45.63,44.13,44.88,1635200,2.98
4/25/1983,46,46.25,45.38,45.63,2050400,3.03
4/22/1983,46,46.63,45.38,46,3676800,3.05
